相对强度 运行#1,位置 (米 m) 运行#1,相对强度 运行#2,位置 (米 m) 运行#2,相对强度 运行#3,位置 (米 m) 运行#3,相对强度 运行#4,位置 (米 m) 运行#4
0.031631,0.0000,0.027359,0.0000,0.013824,0.0000,0.014130,0.0000
0.031128,0.0000,0.027466,0.0000,0.014328,0.0000,0.014236,0.0000
0.032349,0.0000,0.026642,0.0000,0.014542,0.0000,0.014236,0.0000
0.031830,0.0000,0.026550,0.0000,0.014038,0.0000,0.015259,0.0000
0.031021,0.0000,0.028076,0.0000,0.014328,0.0000,0.014236,0.0000
0.032135,0.0000,0.026947,0.0000,0.014542,0.0000,0.013626,0.0000
0.031433,0.0000,0.026855,0.0000,0.014740,0.0000,0.014954,0.0000
0.032135,0.0000,0.027664,0.0000,0.014435,0.0000,0.015045,0.0000
0.031326,0.0000,0.027863,0.0000,0.013824,0.0000,0.014130,0.0000
0.031219,0.0000,0.027557,0.0000,0.013123,0.0000,0.014954,0.0000
0.032135,0.0000,0.026749,0.0000,0.014542,0.0000,0.015152,0.0000
0.032135,0.0000,0.026031,0.0000,0.014038,0.0000,0.015656,0.0000
0.031738,0.0000,0.027252,0.0000,0.013626,0.0000,0.014847,0.0000
0.031525,0.0000,0.026337,0.0000,0.014236,0.0000,0.014236,0.0000
0.032547,0.0000,0.026749,0.0000,0.014740,0.0000,0.015045,0.0000
0.031219,0.0000,0.026642,0.0000,0.014328,0.0000,0.015152,0.0000
0.031525,0.0000,0.027252,0.0000,0.013321,0.0000,0.014435,0.0000
0.032349,0.0000,0.027557,0.0000,0.014130,0.0000,0.013824,0.0000
0.032349,0.0000,0.026855,0.0000,0.014847,0.0000,0.015350,0.0000
0.031433,0.0000,0.027466,0.0000,0.014435,0.0000,0.015259,0.0000
0.030914,0.0000,0.027557,0.0000,0.014130,0.0000,0.014648,0.0000
0.032654,0.0000,0.026550,0.0000,0.014954,0.0000,0.013519,0.0000
0.032959,0.0000,0.026642,0.0000,0.014130,0.0000,0.014542,0.0000
0.031525,0.0000,0.026245,0.0000,0.013321,0.0000,0.015045,0.0000
0.031021,0.0000,0.027252,0.0000,0.013428,0.0000,0.015152,0.0000
0.031433,0.0000,0.026749,0.0000,0.014847,0.0000,0.014648,0.0000
0.032852,0.0000,0.027359,0.0000,0.014542,0.0000,0.014740,0.0000
0.031830,0.0000,0.027252,0.0000,0.013733,0.0000,0.015869,0.0000
0.031830,0.0000,0.027557,0.0000,0.014435,0.0000,0.014648,0.0000
0.031830,0.0000,0.027054,0.0000,0.013321,0.0000,0.014435,0.0000
0.033157,0.0000,0.027252,0.0000,0.014542,0.0000,0.014847,0.0000
0.031021,0.0000,0.026855,0.0000,0.014236,0.0000,0.015152,0.0000
0.031433,0.0000,0.027145,0.0000,0.014847,0.0000,0.014435,0.0000
0.031128,0.0000,0.027145,0.0000,0.014328,0.0000,0.014648,0.0000
0.031830,0.0000,0.026443,0.0000,0.014130,0.0000,0.015152,0.0000
0.032440,0.0000,0.026947,0.0000,0.013824,0.0000,0.014328,0.0000
0.031631,0.0000,0.027771,0.0000,0.013931,0.0000,0.013733,0.0000
0.032043,0.0000,0.027664,0.0000,0.013626,0.0000,0.014740,0.0000
0.031631,0.0000,0.026947,0.0000,0.014847,0.0000,0.015152,0.0000
0.030106,0.0000,0.027466,0.0000,0.014038,0.0000,0.014740,0.0000
0.031738,0.0000,0.027466,0.0000,0.013214,0.0000,0.015152,0.0000
0.031525,0.0000,0.027771,0.0000,0.013931,0.0000,0.014038,0.0000
0.032242,0.0000,0.026642,0.0000,0.014954,0.0000,0.015152,0.0000
0.031631,0.0000,0.027054,0.0000,0.014648,0.0000,0.015656,0.0000
0.031738,0.0000,0.027771,0.0000,0.014038,0.0000,0.014847,0.0000
0.031937,0.0000,0.027145,0.0000,0.014542,0.0000,0.014954,0.0000
0.032349,0.0000,0.027054,0.0000,0.013824,0.0000,0.015656,0.0000
0.031219,0.0000,0.028076,0.0000,0.013931,0.0000,0.015350,0.0000
0.031219,0.0000,0.028076,0.0000,0.013519,0.0000,0.015045,0.0000
0.031128,0.0000,0.028168,0.0000,0.014435,0.0000,0.014328,0.0000
0.031326,0.0000,0.026947,0.0000,0.014542,0.0000,0.015045,0.0000
0.031738,0.0000,0.027863,0.0000,0.014130,0.0000,0.014648,0.0000
0.031830,0.0000,0.027359,0.0000,0.014328,0.0000,0.014130,0.0000
0.031830,0.0000,0.027557,0.0000,0.014847,0.0000,0.014328,0.0000
0.031937,0.0000,0.026337,0.0000,0.014236,0.0000,0.015152,0.0000
0.032043,0.0000,0.027557,0.0000,0.014038,0.0000,0.015350,0.0000
0.031433,0.0000,0.027252,0.0000,0.014236,0.0000,0.015152,0.0000
0.031525,0.0000,0.027771,0.0000,0.013931,0.0000,0.015457,0.0000
0.031326,0.0000,0.026550,0.0000,0.014542,0.0000,0.014740,0.0000
0.031738,0.0000,0.026443,0.0000,0.014435,0.0000,0.014847,0.0000
0.032043,0.0000,0.027664,0.0000,0.013626,0.0000,0.014542,0.0000
0.031738,0.0000,0.026855,0.0000,0.014236,0.0000,0.013824,0.0000
0.032654,0.0000,0.026749,0.0000,0.014328,0.0000,0.015152,0.0000
0.032135,0.0000,0.026749,0.0000,0.014648,0.0000,0.015350,0.0000
0.031326,0.0000,0.027863,0.0000,0.013519,0.0000,0.015045,0.0000
0.031830,0.0000,0.026443,0.0000,0.014847,0.0000,0.014236,0.0000
0.032135,0.0000,0.026550,0.0000,0.014542,0.0000,0.015656,0.0000
0.031219,0.0000,0.027466,0.0000,0.014236,0.0000,0.014435,0.0000
0.031433,0.0000,0.027252,0.0000,0.014328,0.0000,0.015457,0.0000
0.031937,0.0000,0.026642,0.0000,0.014648,0.0000,0.014954,0.0000
0.033569,0.0000,0.026337,0.0000,0.014740,0.0000,0.014236,0.0000
0.031937,0.0000,0.027054,0.0000,0.014542,0.0000,0.014954,0.0000
0.030518,0.0000,0.028381,0.0000,0.013519,0.0000,0.014435,0.0000
0.032745,0.0000,0.027145,0.0000,0.014954,0.0000,0.014648,0.0000
0.032242,0.0000,0.026031,0.0000,0.013931,0.0000,0.014847,0.0000
0.031937,0.0000,0.026642,0.0000,0.014130,0.0000,0.014542,0.0000
0.032242,0.0000,0.027664,0.0000,0.013519,0.0000,0.014435,0.0000
0.032135,0.0000,0.027664,0.0000,0.014954,0.0000,0.015152,0.0000
0.031937,0.0000,0.027145,0.0000,0.014954,0.0000,0.015457,0.0000
0.030823,0.0000,0.027252,0.0000,0.014435,0.0000,0.015045,0.0000
0.031326,0.0000,0.028168,0.0000,0.013123,0.0000,0.014954,0.0000
0.032242,0.0000,0.027664,0.0000,0.014236,0.0000,0.014648,0.0000
0.032654,0.0000,0.026749,0.0000,0.014435,0.0000,0.014648,0.0000
0.032043,0.0000,0.027252,0.0000,0.013214,0.0000,0.015564,0.0000
0.031937,0.0000,0.028381,0.0000,0.013016,0.0000,0.014740,0.0000
0.031830,0.0000,0.026855,0.0000,0.013733,0.0000,0.014130,0.0000
0.031937,0.0000,0.027054,0.0000,0.013519,0.0000,0.015259,0.0000
0.031631,0.0000,0.026443,0.0000,0.014130,0.0000,0.015961,0.0000
0.031021,0.0000,0.027252,0.0000,0.013733,0.0000,0.015259,0.0000
0.031830,0.0000,0.027252,0.0000,0.013931,0.0000,0.014740,0.0000
0.032242,0.0000,0.027145,0.0000,0.014435,0.0000,0.015350,0.0000
0.031219,0.0000,0.027054,0.0000,0.014542,0.0000,0.015762,0.0000
0.030914,0.0000,0.028671,0.0000,0.014236,0.0000,0.015152,0.0000
0.031830,0.0000,0.026749,0.0000,0.013824,0.0000,0.014740,0.0000
0.031937,0.0000,0.026443,0.0000,0.014328,0.0000,0.015656,0.0000
0.032654,0.0000,0.027359,0.0000,0.014038,0.0000,0.014542,0.0000
0.031830,0.0000,0.027664,0.0000,0.013321,0.0000,0.014038,0.0000
0.032242,0.0000,0.026947,0.0000,0.014954,0.0000,0.014038,0.0000
0.032242,0.0000,0.027145,0.0000,0.014648,0.0000,0.014648,0.0000
0.031219,0.0000,0.026443,0.0000,0.014648,0.0000,0.015656,0.0000
0.031219,0.0000,0.026947,0.0000,0.014740,0.0000,0.015152,0.0000
0.030609,0.0000,0.027252,0.0000,0.014236,0.0000,0.014740,0.0000
0.031219,0.0000,0.026947,0.0000,0.014648,0.0000,0.014954,0.0000
0.031937,0.0000,0.027252,0.0000,0.014328,0.0000,0.014954,0.0000
0.030411,0.0000,0.027557,0.0000,0.013428,0.0000,0.014648,0.0000
0.032654,0.0000,0.027771,0.0000,0.014236,0.0000,0.014130,0.0000
0.031128,0.0000,0.027771,0.0000,0.014328,0.0000,0.015350,0.0000
0.031326,0.0000,0.027466,0.0000,0.013733,0.0000,0.015350,0.0000
0.031021,0.0000,0.027969,0.0000,0.014130,0.0000,0.015045,0.0000
